,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
15,16,57,122,21,20,82,81,38,77,56,47,43,134,111,8,13,80,13,16,8,1027,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,18,Female,No,GA,42
16,17,33,44,10,28,21,62,48,62,24,31,20,54,17,12,29,24,9,16,9,553,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,FL,32
17,18,39,63,16,9,31,57,9,55,15,26,21,83,12,4,9,16,6,25,6,502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,CA,37
18,19,26,35,29,15,159,51,9,65,25,25,18,61,11,6,8,17,8,11,7,586,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,WV,25
19,20,83,12,38,9,10,29,14,81,7,12,9,37,5,25,5,8,29,6,21,440,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,VA,24
20,21,45,55,18,24,44,55,34,40,88,45,34,67,63,29,26,57,64,24,40,852,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,18,Male,No,KS,47
21,22,7,10,9,12,5,9,10,10,7,4,8,15,15,7,11,7,4,7,5,162,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,8,Female,No,MI,31
22,23,36,24,12,34,29,48,15,80,45,36,14,71,67,5,15,20,19,24,8,602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19,Female,Yes,AR,36
23,24,27,27,31,21,19,74,15,57,20,67,21,65,14,6,25,17,24,50,6,586,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,16,Female,Yes,CA,35
24,25,19,23,9,10,17,32,10,36,19,17,12,55,11,6,13,31,11,19,9,359,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,17,Female,No,MN,68
25,26,41,17,12,10,13,41,15,52,11,16,11,24,10,6,8,11,24,10,9,341,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,16,Female,Yes,CA,31
26,27,28,25,14,26,23,55,13,53,16,34,23,41,10,6,11,17,14,9,12,430,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,MI,47
27,28,19,48,59,26,29,7,39,23,22,161,62,14,218,8,11,34,234,14,12,1040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,Female,No,OH,33
28,29,12,18,6,9,9,16,42,25,17,14,11,18,5,5,6,7,5,6,5,236,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,17,Female,Yes,NJ,23
29,30,27,34,11,22,34,44,22,57,20,28,20,47,17,7,11,14,13,17,8,453,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,LA,27
30,31,270,31,9,8,93,86,13,35,10,34,15,52,8,5,9,11,5,9,12,715,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,CA,24
31,32,61,29,15,19,56,68,15,69,32,28,32,107,17,5,14,47,9,17,4,644,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,No,IL,36
32,33,25,28,15,15,45,104,16,48,16,89,18,28,10,9,12,23,34,10,6,551,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,15,Male,Yes,IN,30
